Date;Open*;High;Low;Close**;Volume;Market Cap
Mar 21, 2022;$41,246.13;$41,454.41;$40,668.04;$41,078.00;$24,615,543,271;$780,074,755,650
Mar 20, 2022;$42,191.41;$42,241.16;$41,004.76;$41,247.82;$20,127,946,682;$783,260,570,384
Mar 19, 2022;$41,794.65;$42,316.55;$41,602.67;$42,190.65;$19,664,853,187;$801,124,017,583
Mar 18, 2022;$40,944.84;$42,195.74;$40,302.40;$41,801.15;$34,421,564,942;$793,688,176,484
Mar 17, 2022;$41,140.84;$41,287.54;$40,662.87;$40,951.38;$22,009,601,093;$777,515,183,730
Mar 16, 2022;$39,335.57;$41,465.45;$39,022.35;$41,143.93;$39,616,916,192;$781,131,586,213
Mar 15, 2022;$39,664.25;$39,794.63;$38,310.21;$39,338.79;$23,934,000,868;$746,821,744,421
Mar 14, 2022;$37,846.32;$39,742.50;$37,680.73;$39,666.76;$24,322,159,070;$753,013,859,090
Mar 13, 2022;$38,884.72;$39,209.35;$37,728.14;$37,849.66;$17,300,745,310;$718,481,905,386
Mar 12, 2022;$38,794.46;$39,308.60;$38,772.54;$38,904.01;$14,616,450,657;$738,459,914,964
Mar 11, 2022;$39,439.97;$40,081.68;$38,347.43;$38,794.97;$26,364,890,465;$736,353,069,777
Mar 10, 2022;$41,974.07;$42,004.73;$38,832.94;$39,437.46;$31,078,064,711;$748,513,363,763
Mar 09, 2022;$38,742.82;$42,465.67;$38,706.09;$41,982.93;$32,284,121,034;$796,787,661,849
Mar 08, 2022;$38,059.90;$39,304.44;$37,957.39;$38,737.27;$25,776,583,476;$735,156,346,355
Mar 07, 2022;$38,429.30;$39,430.23;$37,260.20;$38,062.04;$28,546,143,503;$722,305,696,828
Mar 06, 2022;$39,404.20;$39,640.18;$38,211.65;$38,419.98;$19,745,229,902;$729,062,407,067
Mar 05, 2022;$39,148.45;$39,566.34;$38,777.04;$39,400.58;$16,975,917,450;$747,638,613,405
Mar 04, 2022;$42,458.14;$42,479.61;$38,805.85;$39,137.60;$28,516,271,427;$742,617,908,335
Mar 03, 2022;$43,925.20;$44,021.58;$41,914.75;$42,451.79;$24,967,782,593;$805,466,458,785
Mar 02, 2022;$44,357.62;$45,077.58;$43,432.85;$43,924.12;$29,183,112,630;$833,361,543,695
Mar 01, 2022;$43,194.50;$44,793.60;$42,952.58;$44,354.64;$32,479,047,645;$841,491,170,716
Feb 28, 2022;$37,706.00;$43,760.46;$37,518.21;$43,193.23;$35,690,014,104;$819,414,782,676
Feb 27, 2022;$39,098.70;$39,778.94;$37,268.98;$37,709.78;$23,450,127,612;$715,351,995,828
Feb 26, 2022;$39,213.08;$40,005.35;$38,702.53;$39,105.15;$17,467,554,129;$741,789,694,059
Feb 25, 2022;$38,333.75;$39,630.32;$38,111.34;$39,214.22;$26,545,599,159;$743,827,806,938
Feb 24, 2022;$37,278.57;$38,968.84;$34,459.22;$38,332.61;$46,383,802,093;$727,072,550,320
Feb 23, 2022;$38,285.28;$39,122.39;$37,201.82;$37,296.57;$21,849,073,843;$707,390,766,255
Feb 22, 2022;$37,068.77;$38,359.85;$36,488.93;$38,286.03;$25,493,150,450;$726,121,533,658
Feb 21, 2022;$38,423.21;$39,394.44;$36,950.48;$37,075.28;$29,280,402,798;$703,124,071,472
Feb 20, 2022;$40,118.10;$40,119.89;$38,112.81;$38,431.38;$18,340,576,452;$728,812,385,562
Feb 19, 2022;$40,026.02;$40,418.88;$39,713.06;$40,122.15;$13,736,557,863;$760,839,429,984
