,date,target,x1,x2,x3,x4,x5,x6,x7,v,bitcoin,crypto
0,2021-07-30,42235.55,40008.42,39995.91,39406.94,37337.53,35350.19,34292.45,33581.55,27167146027,53,42
1,2021-07-31,41626.2,42235.55,40008.42,39995.91,39406.94,37337.53,35350.19,34292.45,33072782960,49,43
2,2021-08-01,39974.9,41626.2,42235.55,40008.42,39995.91,39406.94,37337.53,35350.19,25802845343,52,47
3,2021-08-02,39201.95,39974.9,41626.2,42235.55,40008.42,39995.91,39406.94,37337.53,26688438115,52,45
4,2021-08-03,38152.98,39201.95,39974.9,41626.2,42235.55,40008.42,39995.91,39406.94,25595265436,50,43
5,2021-08-04,39747.51,38152.98,39201.95,39974.9,41626.2,42235.55,40008.42,39995.91,26189830450,48,40
6,2021-08-05,40869.55,39747.51,38152.98,39201.95,39974.9,41626.2,42235.55,40008.42,25372562724,46,44
7,2021-08-06,42816.5,40869.55,39747.51,38152.98,39201.95,39974.9,41626.2,42235.55,35185031017,49,55
8,2021-08-07,44555.8,42816.5,40869.55,39747.51,38152.98,39201.95,39974.9,41626.2,38226483046,52,47
9,2021-08-08,43798.12,44555.8,42816.5,40869.55,39747.51,38152.98,39201.95,39974.9,40030862141,56,58
10,2021-08-09,46365.4,43798.12,44555.8,42816.5,40869.55,39747.51,38152.98,39201.95,36302664750,59,54
11,2021-08-10,45585.03,46365.4,43798.12,44555.8,42816.5,40869.55,39747.51,38152.98,38734079049,63,56
12,2021-08-11,45593.64,45585.03,46365.4,43798.12,44555.8,42816.5,40869.55,39747.51,33546019517,58,59
13,2021-08-12,44428.29,45593.64,45585.03,46365.4,43798.12,44555.8,42816.5,40869.55,34319709073,63,66
14,2021-08-13,47793.32,44428.29,45593.64,45585.03,46365.4,43798.12,44555.8,42816.5,33723620826,57,61
15,2021-08-14,47096.95,47793.32,44428.29,45593.64,45585.03,46365.4,43798.12,44555.8,31744259539,56,61
16,2021-08-15,47047.0,47096.95,47793.32,44428.29,45593.64,45585.03,46365.4,43798.12,31211354442,55,58
17,2021-08-16,46004.48,47047.0,47096.95,47793.32,44428.29,45593.64,45585.03,46365.4,30988958446,51,60
18,2021-08-17,44695.36,46004.48,47047.0,47096.95,47793.32,44428.29,45593.64,45585.03,32776876610,54,62
19,2021-08-18,44801.19,44695.36,46004.48,47047.0,47096.95,47793.32,44428.29,45593.64,33451362600,51,58
20,2021-08-19,46717.58,44801.19,44695.36,46004.48,47047.0,47096.95,47793.32,44428.29,32194123075,50,55
21,2021-08-20,49339.18,46717.58,44801.19,44695.36,46004.48,47047.0,47096.95,47793.32,37204312299,48,57
22,2021-08-21,48905.49,49339.18,46717.58,44801.19,44695.36,46004.48,47047.0,47096.95,34706867452,54,66
23,2021-08-22,49321.65,48905.49,49339.18,46717.58,44801.19,44695.36,46004.48,47047.0,40585205312,55,61
24,2021-08-23,49546.15,49321.65,48905.49,49339.18,46717.58,44801.19,44695.36,46004.48,25370975378,48,62
25,2021-08-24,47706.12,49546.15,49321.65,48905.49,49339.18,46717.58,44801.19,44695.36,34305053719,65,72
26,2021-08-25,48960.79,47706.12,49546.15,49321.65,48905.49,49339.18,46717.58,44801.19,35361168834,55,69
27,2021-08-26,46942.22,48960.79,47706.12,49546.15,49321.65,48905.49,49339.18,46717.58,32646349931,53,65
28,2021-08-27,49058.67,46942.22,48960.79,47706.12,49546.15,49321.65,48905.49,49339.18,32666549568,50,58
29,2021-08-28,48902.4,49058.67,46942.22,48960.79,47706.12,49546.15,49321.65,48905.49,34511076995,46,56
30,2021-08-29,48829.83,48902.4,49058.67,46942.22,48960.79,47706.12,49546.15,49321.65,28568103401,43,59
