Day,bitcoin: (Worldwide)
2021-07-23,47
2021-07-24,47
2021-07-25,48
2021-07-26,91
2021-07-27,65
2021-07-28,61
2021-07-29,53
2021-07-30,49
2021-07-31,52
2021-08-01,52
2021-08-02,50
2021-08-03,48
2021-08-04,46
2021-08-05,49
2021-08-06,52
2021-08-07,56
2021-08-08,59
2021-08-09,63
2021-08-10,58
2021-08-11,63
2021-08-12,57
2021-08-13,56
2021-08-14,55
2021-08-15,51
2021-08-16,54
2021-08-17,51
2021-08-18,50
2021-08-19,48
2021-08-20,54
2021-08-21,55
2021-08-22,48
2021-08-23,65
2021-08-24,55
2021-08-25,53
2021-08-26,50
2021-08-27,46
2021-08-28,43
2021-08-29,42
2021-08-30,45
2021-08-31,44
2021-09-01,43
2021-09-02,50
2021-09-03,49
2021-09-04,45
2021-09-05,42
2021-09-06,52
2021-09-07,87
2021-09-08,80
2021-09-09,57
2021-09-10,51
2021-09-11,45
2021-09-12,42
2021-09-13,47
2021-09-14,45
2021-09-15,46
2021-09-16,44
2021-09-17,43
2021-09-18,41
2021-09-19,37
2021-09-20,59
2021-09-21,59
2021-09-22,52
2021-09-23,48
2021-09-24,67
2021-09-25,53
2021-09-26,44
2021-09-27,45
2021-09-28,43
2021-09-29,44
2021-09-30,42
2021-10-01,50
2021-10-02,43
2021-10-03,41
2021-10-04,47
2021-10-05,54
2021-10-06,68
2021-10-07,60
2021-10-08,54
2021-10-09,48
2021-10-10,45
2021-10-11,59
2021-10-12,55
2021-10-13,50
2021-10-14,54
2021-10-15,77
2021-10-16,68
2021-10-17,56
2021-10-18,67
2021-10-19,75
2021-10-20,100
2021-10-21,74
2021-10-22,71
2021-10-23,61
2021-10-24,66
2021-10-25,46
2021-10-26,53
2021-10-27,62
2021-10-28,64
2021-10-29,53
2021-10-30,51
2021-10-31,54
2021-11-01,35
2021-11-02,39
2021-11-03,46
2021-11-04,43
2021-11-05,32
2021-11-06,54
2021-11-07,39
2021-11-08,44
2021-11-09,65
2021-11-10,54
2021-11-11,43
2021-11-12,69
2021-11-13,50
2021-11-14,43
2021-11-15,59
2021-11-16,65
2021-11-17,58
2021-11-18,62
2021-11-19,79
2021-11-20,42
2021-11-21,46
2021-11-22,48
2021-11-23,63
2021-11-24,35
2021-11-25,59
2021-11-26,61
2021-11-27,50
2021-11-28,57
2021-11-29,63
2021-11-30,66
2021-12-01,46
2021-12-02,44
2021-12-03,36
2021-12-04,93
2021-12-05,88
2021-12-06,59
2021-12-07,66
2021-12-08,41
2021-12-09,37
2021-12-10,61
2021-12-11,51
2021-12-12,54
2021-12-13,52
2021-12-14,55
2021-12-15,43
2021-12-16,42
2021-12-17,55
2021-12-18,48
2021-12-19,43
2021-12-20,43
2021-12-21,51
2021-12-22,43
2021-12-23,42
2021-12-24,45
2021-12-25,40
2021-12-26,40
2021-12-27,42
2021-12-28,44
2021-12-29,43
2021-12-30,43
2021-12-31,39
2022-01-01,38
2022-01-02,38
2022-01-03,41
2022-01-04,40
2022-01-05,44
2022-01-06,65
2022-01-07,65
2022-01-08,56
2022-01-09,51
2022-01-10,56
2022-01-11,53
2022-01-12,49
2022-01-13,46
2022-01-14,44
2022-01-15,37
2022-01-16,37
2022-01-17,40
2022-01-18,43
2022-01-19,40
2022-01-20,41
2022-01-21,79
2022-01-22,100
2022-01-23,73
2022-01-24,96
2022-01-25,72
2022-01-26,67
2022-01-27,60
2022-01-28,56
2022-01-29,48
2022-01-30,45
2022-01-31,48
2022-02-01,49
2022-02-02,47
2022-02-03,47
2022-02-04,50
2022-02-05,52
2022-02-06,43
2022-02-07,54
2022-02-08,51
2022-02-09,50
2022-02-10,48
2022-02-11,44
2022-02-12,39
2022-02-13,36
2022-02-14,42
2022-02-15,43
2022-02-16,40
2022-02-17,42
2022-02-18,43
2022-02-19,38
2022-02-20,43
2022-02-21,46
2022-02-22,52
2022-02-23,44
2022-02-24,84
2022-02-25,57
2022-02-26,44
2022-02-27,44
2022-02-28,55
2022-03-01,60
2022-03-02,53
2022-03-03,47
2022-03-04,46
2022-03-05,40
2022-03-06,39
2022-03-07,46
2022-03-08,43
2022-03-09,50
2022-03-10,45
2022-03-11,41
2022-03-12,35
2022-03-13,34
2022-03-14,39
2022-03-15,37
2022-03-16,37
2022-03-17,36
2022-03-18,35
2022-03-19,33
2022-03-20,0
